# Week 1
41;21.098km, Wettkampf;Einlaufen 10 min, Wettkampf 21.098km, Auslaufen 15 min

# Week 7
42;8km, Ruhiger Dauerlauf (75%-80% HFR);
43;10km, Ruhiger Dauerlauf (75%-80% HFR);
#44 recovery
45;15km, Lockerer Dauerlauf (80%-85% HFR);
46;19km, Fahrtspiel;: Einlaufen 2km, Fahrtspiel 15km, Auslaufen 2km
47;10km, Ruhiger Dauerlauf (75%-80% HFR);
48;30km, Langsamer Dauerlauf (70%-75% HFR);

# Week 8
49;8km, Ruhiger Dauerlauf (75%-80% HFR);
50;Intervall-Training;: Einlaufen 3km, Tempoläufe 12 x 800m in 3 min mit 2:30 min Trabpause, Auslaufen 3km
51;8km, Ruhiger Dauerlauf (75%-80% HFR);
#52 recovery
53;18km, Marathon-Renntempo;: Einlaufen 3km, Marathon-Renntempo 12km, Auslaufen 3km
54;10km, Langsamer Dauerlauf (70%-75% HFR);
55;32km, Langsamer Dauerlauf (70%-75% HFR);

# Week 9
56;10km, Ruhiger Dauerlauf (75%-80% HFR);
57;15km, Ruhiger Dauerlauf (75%-80% HFR);
58;Intervall-Training;: Einlaufen 3km, Tempoläufe 6 x 1.600m in 6 min mit 3 min Trabpause, Auslaufen 3km
59;10km, Lockerer Dauerlauf (80%-85% HFR);
60;20km, Marathon-Renntempo;: Einlaufen 3km, Marathon-Renntempo 14km, Auslaufen 3km
#61 recovery
62;35km, Langsamer Dauerlauf (70%-75% HFR); (sehr langsam beginnen)

# Week 10
63;10km, Ruhiger Dauerlauf (75%-80% HFR);
64;Intervall-Training;: Einlaufen 3km, Tempoläufe 12 x 400m im 10-km-Renntempo mit 1:30 min Trabpause, Auslaufen 3km
65;25km, Langsamer Dauerlauf (70%-75% HFR); (sehr langsam)
#66 recovery
67;12km, Lockerer Dauerlauf (80%-85% HFR);
68;12km, Lockerer Dauerlauf (80%-85% HFR);, anschließend 5 Steigerungen
69;10km, Wettkampf;: Einlaufen 10 min, Wettkampf 10km, Auslaufen 15 min

# Week 11
70;8km, Ruhiger Dauerlauf (75%-80% HFR);
71;8km, Lockerer Dauerlauf (80%-85% HFR);
72;Intervall-Training;: Einlaufen 3km, Tempoläufe 800m in 3 min mit 3 min Trabpause, 1.600m in 6 min mit 3 min Trabpause, 2.400m in 9 min mit 5 min Trabpause, 1.600m in 6 min mit 3 min Trabpause, 800m in 3 min, Auslaufen 3km
#73 recovery
74;18km, Langsamer Dauerlauf (70%-75% HFR);
75;8km, Langsamer Dauerlauf (70%-75% HFR);
76;10km, Lockerer Dauerlauf (80%-85% HFR);

# Week 12
77;10km, Lockerer Dauerlauf (80%-85% HFR);
78;9km, Marathon-Renntempo;: Einlaufen 2km, Marathon-Renntempo 5km, Auslaufen 2km
#79 recovery
80;6km, Langsamer Dauerlauf (70%-75% HFR);, anschließend 5 Steigerungen
#81 recovery
82;4km, Langsamer Dauerlauf (70%-75% HFR);, anschließend 5 Steigerungen
83;42.195km, Wettkampf;: Einlaufen 10 min, Marathon Wettkampf 42.195km, Auslaufen 15 min
